 s/od:	     0	     1	     2	     3	     4	     5	     6	     7	     8	     9	    10	
  120:	 57.94	 56.53	 55.09	 53.63	 52.14	 50.62	 49.08	 47.52	 45.93	 44.31	 42.68	
  121:	 57.58	 56.17	 54.74	 53.28	 51.80	 50.29	 48.76	 47.20	 45.62	 44.01	 42.38	
  122:	 57.22	 55.82	 54.39	 52.94	 51.46	 49.96	 48.43	 46.88	 45.31	 43.71	 42.09	
  123:	 56.87	 55.47	 54.05	 52.60	 51.13	 49.63	 48.11	 46.57	 45.00	 43.41	 41.80	
  124:	 56.52	 55.13	 53.71	 52.27	 50.80	 49.31	 47.80	 46.26	 44.70	 43.12	 41.52	
  125:	 56.18	 54.79	 53.37	 51.94	 50.47	 48.99	 47.48	 45.95	 44.40	 42.83	 41.23	
  126:	 55.83	 54.45	 53.04	 51.61	 50.15	 48.67	 47.17	 45.65	 44.11	 42.54	 40.96	
  127:	 55.49	 54.11	 52.71	 51.28	 49.83	 48.36	 46.87	 45.35	 43.82	 42.26	 40.68	
  128:	 55.16	 53.78	 52.38	 50.96	 49.52	 48.05	 46.57	 45.06	 43.53	 41.98	 40.41	
  129:	 54.83	 53.45	 52.06	 50.65	 49.21	 47.75	 46.27	 44.76	 43.24	 41.70	 40.14	
  130:	 54.50	 53.13	 51.74	 50.33	 48.90	 47.45	 45.97	 44.48	 42.96	 41.43	 39.88	
  131:	 54.17	 52.81	 51.43	 50.02	 48.59	 47.15	 45.68	 44.19	 42.68	 41.16	 39.61	
  132:	 53.85	 52.49	 51.11	 49.71	 48.29	 46.85	 45.39	 43.91	 42.41	 40.89	 39.35	
  133:	 53.53	 52.18	 50.80	 49.41	 47.99	 46.56	 45.10	 43.63	 42.14	 40.63	 39.10	
  134:	 53.21	 51.87	 50.50	 49.11	 47.70	 46.27	 44.82	 43.36	 41.87	 40.37	 38.85	
  135:	 52.90	 51.56	 50.19	 48.81	 47.41	 45.98	 44.54	 43.08	 41.60	 40.11	 38.60	
  136:	 52.59	 51.25	 49.89	 48.52	 47.12	 45.70	 44.27	 42.81	 41.34	 39.85	 38.35	
  137:	 52.28	 50.95	 49.60	 48.22	 46.83	 45.42	 43.99	 42.55	 41.08	 39.60	 38.11	
  138:	 51.98	 50.65	 49.30	 47.94	 46.55	 45.15	 43.72	 42.28	 40.83	 39.35	 37.86	
  139:	 51.68	 50.36	 49.01	 47.65	 46.27	 44.87	 43.46	 42.02	 40.57	 39.11	 37.63	
  140:	 51.38	 50.06	 48.73	 47.37	 45.99	 44.60	 43.19	 41.77	 40.32	 38.87	 37.39	
  141:	 51.09	 49.77	 48.44	 47.09	 45.72	 44.33	 42.93	 41.51	 40.08	 38.62	 37.16	
  142:	 50.80	 49.49	 48.16	 46.81	 45.45	 44.07	 42.67	 41.26	 39.83	 38.39	 36.93	
  143:	 50.51	 49.20	 47.88	 46.54	 45.18	 43.81	 42.42	 41.01	 39.59	 38.15	 36.70	
  144:	 50.22	 48.92	 47.60	 46.27	 44.92	 43.55	 42.17	 40.77	 39.35	 37.92	 36.48	
  145:	 49.94	 48.64	 47.33	 46.00	 44.66	 43.29	 41.92	 40.52	 39.11	 37.69	 36.25	
  146:	 49.66	 48.37	 47.06	 45.74	 44.40	 43.04	 41.67	 40.28	 38.88	 37.46	 36.03	
  147:	 49.38	 48.09	 46.79	 45.47	 44.14	 42.79	 41.42	 40.04	 38.65	 37.24	 35.82	
  148:	 49.10	 47.82	 46.53	 45.21	 43.88	 42.54	 41.18	 39.81	 38.42	 37.02	 35.60	
  149:	 48.83	 47.56	 46.26	 44.96	 43.63	 42.29	 40.94	 39.57	 38.19	 36.80	 35.39	
  150:	 48.56	 47.29	 46.00	 44.70	 43.38	 42.05	 40.70	 39.34	 37.97	 36.58	 35.18	
  151:	 48.30	 47.03	 45.75	 44.45	 43.14	 41.81	 40.47	 39.11	 37.75	 36.36	 34.97	
  152:	 48.03	 46.77	 45.49	 44.20	 42.89	 41.57	 40.24	 38.89	 37.53	 36.15	 34.76	
  153:	 47.77	 46.51	 45.24	 43.95	 42.65	 41.34	 40.01	 38.67	 37.31	 35.94	 34.56	
  154:	 47.51	 46.26	 44.99	 43.71	 42.41	 41.10	 39.78	 38.45	 37.10	 35.73	 34.36	
  155:	 47.25	 46.01	 44.74	 43.47	 42.18	 40.87	 39.56	 38.23	 36.88	 35.53	 34.16	
  156:	 47.00	 45.76	 44.50	 43.23	 41.94	 40.65	 39.33	 38.01	 36.67	 35.33	 33.96	
  157:	 46.75	 45.51	 44.26	 42.99	 41.71	 40.42	 39.11	 37.80	 36.47	 35.12	 33.77	
  158:	 46.50	 45.26	 44.02	 42.76	 41.48	 40.20	 38.90	 37.58	 36.26	 34.92	 33.58	
  159:	 46.25	 45.02	 43.78	 42.52	 41.26	 39.97	 38.68	 37.37	 36.06	 34.73	 33.39	
  160:	 46.01	 44.78	 43.54	 42.29	 41.03	 39.76	 38.47	 37.17	 35.86	 34.53	 33.20	
